"Portfolio";"/static/img/port02.jpg";"ADAPTIVE TEMPLATE";"http://lesson7shop.000webhostapp.com/";"This is my first experience of adaptive layout with the use of Bootstrap";"front-end";;;
"Portfolio";"/static/img/port01.jpg";"STATIC TEMPLATE";"http://lesson06shop.000webhostapp.com/";"This is my first experience of static layout with the use of HTML / CSS";"front-end";;;
"Portfolio";"/static/img/port03.jpg";"DJANGO SITE";"#";"During the training, this site was also created using the programming language Python and framework Django";"back-end";;;
"Cerficates";"/static/img/db.png";"Databases";"<ul><li>Design databases</li><li>Write SQL queries</li><li>Install and work with MySql</li><li>Use MySql Workbench</li></ul>";"Databases";;;
"Cerficates";"/static/img/html_css.png";"HTML\CSS";"<ul><li>HTML, including HTML5</li><li>CSS, including CSS3</li><li>Imposition static sites, Valid, cross-browser layout, Block layout</li><li>Performing basic operations in Photoshop and GIMP</li><li>Use LESS preprocessors</li><li>Use Bootstrap</li></ul>";"front-end";;;
"Cerficates";"/static/img/python_lv1.png";"Python Level 1";"<ul><li>Fundamentals of programming and modern approaches to web programming</li><li>Read someone else's python code and write your own, in accordance with the standards of PEP-8 and practices that have passed the test of time</li><li> Use the IDE and its auxiliary tools to check and debug the code</li><li>Write system scripts to work with the file system</li><li>Develop full-fledged programs using a modular and object-oriented approach</li><li>Understand how python is actually built and learn its power and flexibility</li></ul>";"back-end";;;
"Works";"DevOP Engineer";"/static/img/prof.jpg";"http://prof-realty.pro/";"<ul><li>Computer park maintenance (70 pcs.)</li><li>Server park maintenance (17 pcs)</li><li> Service maintenance of 1C programs </li><li>Administration of Hyper-V Server 2012 R2, Windows Server 2008 R2, Windows Server 2012 R2, FreeBSD, Ubuntu Server, Sql Server 2012, 1C SQL Server, KODOS, Kaspersky Security Center, GeoVision, DHCP, DNS, SMB, WSUS, Avaya IP Office 500 </li><li>Organization of backup storage</li><li> Consultation and user support </li><li> Create (C #, Python) applications for company needs</li><li>Creation of technical documentation</li><li>Assembly upgrade and hardware setup of the PC</li></ul>";"AUGUST 2016 - CURRENT";"1";
"Works";"System Administrator";"/static/img/logo-2gis.jpg";"https://2gis.ru/";"<ul><li>Computer service (82 pcs.)</li><li>Service maintenance of (1C, SBIS programs)</li><li>Administration of Hyper-V Server 2012 R2, Windows Server 2008 R2, FreeBSD, Ubuntu Server, VMware ESXi,AD, DHCP, DNS, SMB</li><li>Migration from VMware ESXi to Hyper-V Server 2012 R2</li><li>Provision of corporate anti-virus protection and network security</li><li>Introduction of technologies: WDS, IPMI, delegation of domain mail, VPN, BGP, VoIP, cloud PBX</li><li>Work with MicroTik network equipment,Huawei switches</li><li>Administration of video surveillance systems</li><li>Organization of backup storage</li><li>Consultation and user support</li><li>Creation of technical documentation</li><li>Assembly upgrade and hardware PC setup</li><li>Project construction of the network and its subsequent implementation</li><li>Selection of office equipment,servers, PCs, as well as contracting with the supplier</li></ul>";"JUNE 2013 - AUGUST 2016";"2";
"Works";"System Administrator";"/static/img/logo-soseddushka.JPG";"#";"<ul><li>Installation, configuration and software upgrades</li><li>1C Administration</li><li>Consultations of employees</li><li>Installation and configuration of commercial equipment</li><li>Installing and Configuring Servers</li><li>Repair of computers and commercial equipment</li><li>Laying and network design</li><li>Redundant communication channels</li><li>Securing the Network</li><li>SIP telephony service</li><li>Configuring Huawei switches</li></ul>";"JUNE 2011 - JUNE 2013";"3";
"Company";"Soseddushka LLC";"Orenburg, str. Soviet 24";"78622918787";"Grocery chain";
"Company";"2Gis Ltd.";"Novosibirsk, Karl Marx square, 7, 16th floor";"78622918787";"Organization - provider of geolocation services and a directory of organizations";
"Company";"ARK Group LLC";"Central area, st. Moscow 3, Building 4, floor 4";"88002226822";"The company is engaged in construction and sale of real estate, also provides real estate services";
